,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
25,John Clawson,SF,24,OAK,70,,15.2,2.1,4.4,.476,0.0,0.0,,2.1,4.4,.476,.476,0.5,0.8,.685,1.0,1.8,2.8,0.7,,,1.0,2.7,4.7
26,Glen Combs,PG,22,DLC,72,,31.1,5.1,12.1,.419,1.2,3.2,.361,3.9,8.8,.441,.468,4.2,5.5,.761,0.9,1.8,2.7,2.3,,,2.2,3.0,15.4
27,Jeffrey Congdon,PG,25,DNR,59,,16.6,1.8,4.7,.386,0.1,0.5,.161,1.7,4.2,.415,.395,1.2,1.4,.812,0.2,1.3,1.6,2.3,,,1.6,1.8,4.9
28,Russell Critchfield,PG,22,OAK,47,,9.3,1.1,3.1,.361,0.0,0.1,.000,1.1,3.1,.368,.361,1.2,1.8,.655,0.2,0.4,0.6,1.1,,,0.7,0.9,3.4
29,Louie Dampier*,PG,24,KEN,78,,42.6,9.1,21.7,.420,2.6,7.1,.361,6.6,14.7,.449,.479,3.9,4.9,.811,1.0,2.9,3.8,5.8,,,3.2,2.0,24.8
30,Mel Daniels*,C,24,INA,76,,38.6,9.4,19.7,.476,0.0,0.1,.000,9.4,19.6,.477,.476,5.3,8.7,.604,5.0,11.5,16.5,1.5,,,3.6,3.6,24.0
31,Ollie Darden,PF,24,TOT,77,,25.3,4.1,9.3,.445,0.0,0.1,.200,4.1,9.2,.447,.446,2.3,3.1,.742,2.9,4.8,7.7,1.4,,,1.8,3.6,10.6
32,Lee Davis,PF,23,NOB,65,,8.8,1.4,3.5,.388,0.0,0.1,.250,1.3,3.4,.390,.390,0.7,1.4,.500,1.1,2.0,3.1,0.3,,,0.5,1.3,3.4
33,Warren Davis,PF,25,LAS,78,,30.8,4.6,9.1,.501,0.0,0.0,.000,4.6,9.1,.502,.501,3.6,5.6,.651,3.3,6.7,10.0,1.7,,,2.3,3.4,12.7
34,Don Dee,PF,25,INA,58,,17.1,2.4,6.7,.357,0.0,0.0,.000,2.4,6.7,.358,.357,1.0,1.3,.747,1.8,3.2,5.0,0.6,,,1.2,3.1,5.7
35,Rich Dumas,G,24,HSM,1,,5.0,1.0,5.0,.200,0.0,0.0,,1.0,5.0,.200,.200,0.0,0.0,,0.0,1.0,1.0,0.0,,,1.0,1.0,2.0
36,Jim Eakins,C,22,OAK,78,,21.4,4.5,8.3,.543,0.0,0.0,.000,4.5,8.3,.544,.543,4.0,5.5,.719,2.9,4.3,7.2,0.7,,,1.8,3.0,13.0
37,Penny Early,G,25,KEN,1,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0
38,John Fairchild,SF,25,TOT,63,,11.4,1.8,4.7,.384,0.2,0.5,.345,1.6,4.2,.389,.401,1.4,2.0,.701,0.8,1.3,2.0,0.6,,,1.2,1.6,5.2
39,Ronald Franz,SF,23,NOB,73,,30.1,5.2,11.6,.448,0.2,0.4,.355,5.1,11.2,.452,.455,3.9,5.3,.737,2.2,4.9,7.1,2.6,,,2.4,3.2,14.5
